expression,reading,meaning,tags,JLPT Level
無視,むし,"disregard, ignore",JLPT JLPT_2 JLPT_3,3
蒸し暑い,むしあつい,"humid, sultry",JLPT JLPT_2 JLPT_3,3
虫歯,むしば,"cavity, tooth decay",JLPT JLPT_2 JLPT_3,3
寧ろ,むしろ,"rather, better, instead",JLPT JLPT_2 JLPT_3,3
蒸す,むす,"to steam, to poultice, to be sultry",JLPT JLPT_2 JLPT_3,3
結ぶ,むすぶ,"to tie, to bind, to link",JLPT JLPT_2 JLPT_3,3
無駄,むだ,"futility, uselessness",JLPT JLPT_2 JLPT_3,3
夢中,むちゅう,"crush, crazy, be hooked on",JLPT JLPT_2 JLPT_3,3
胸,むね,"breast, chest",JLPT JLPT_2 JLPT_3,3
無料,むりょう,"free, no charge",JLPT JLPT_2 JLPT_3,3
芽,め,sprout,JLPT JLPT_2 JLPT_3,3
明確,めいかく,"clear, definite",JLPT JLPT_2 JLPT_3,3
名刺,めいし,(name) card; business card,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.1,3
名詞,めいし,noun,JLPT JLPT_2 JLPT_3,3
命じる,めいじる,"to order, to command, to appoint",JLPT JLPT_2 JLPT_3,3
名人,めいじん,"master, expert",JLPT JLPT_2 JLPT_3,3
命令,めいれい,"order, command, decree",JLPT JLPT_2 JLPT_3,3
迷惑,めいわく,"trouble, bother, annoyance",JLPT JLPT_2 JLPT_3,3
目上,めうえ,person of higher status; one's senior,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.2,3
飯,めし,"meals, food",JLPT JLPT_2 JLPT_3,3
滅多に,めったに,"rarely (with neg. verb), seldom",JLPT JLPT_2 JLPT_3,3
メモ,メモ,"memorandum, note",JLPT JLPT_2 JLPT_3,3
面,めん,"face, mug, surface, side or facet, corner, page",JLPT JLPT_2 JLPT_3,3
綿,めん,cotton,JLPT JLPT_2 JLPT_3,3
免許,めんきょ,"license, permit, certificate",JLPT JLPT_3 JLPT_2 Genki_Ln.22 Genki,3
面接,めんせつ,interview,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Genki Genki_Ln.23 Intermediate_Japanese_Ln.3,3
面倒,めんどう,"trouble, attention",JLPT JLPT_2 JLPT_3,3
メンバー,メンバー,member,JLPT JLPT_2 JLPT_3,3
申し込む,もうしこむ,"to apply for, to make an application",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.3,3
申し訳,もうしわけ,"apology, excuse",JLPT JLPT_2 JLPT_3,3
毛布,もうふ,blanket,JLPT JLPT_2 JLPT_3,3
燃える,もえる,to burn,JLPT JLPT_2 JLPT_3,3
目的,もくてき,"purpose, goal, aim",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.3,3
目標,もくひょう,"mark, objective, target",JLPT JLPT_2 JLPT_3,3
文字,もじ,"letter (of alphabet), character",JLPT JLPT_2 JLPT_3,3
文字,もんじ,"letter (of alphabet), character",JLPT JLPT_2 JLPT_3,3
もしかすると,もしかすると,"perhaps, maybe, by some chance",JLPT JLPT_2 JLPT_3,3
もしも,もしも,if,JLPT JLPT_2 JLPT_3,3
持ち上げる,もちあげる,"to raise, to lift up, to flatter",JLPT JLPT_2 JLPT_3,3
用いる,もちいる,"to use, to make use of",JLPT JLPT_2 JLPT_3,3
もったいない,もったいない,"wasteful; more than one deserves, unworthy of",JLPT JLPT_2 JLPT_3,3
尤も,もっとも,"quite right, plausible, natural",JLPT JLPT_2 JLPT_3,3
元,もと,"origin, original; former",JLPT JLPT_2 JLPT_3,3
基,もと,basis,JLPT JLPT_2 JLPT_3,3
素,もと,prime,JLPT JLPT_2 JLPT_3,3
戻す,もどす,"to restore, to put back, to return",JLPT JLPT_2 JLPT_3,3
基づく,もとづく,"to be grounded on, to be based on",JLPT JLPT_2 JLPT_3,3
求める,もとめる,"to request, to ask for; to seek, to search for",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.4,3
者,もの,person (same as 人 (ひと)),JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.3,3
物音,ものおと,sounds,JLPT JLPT_2 JLPT_3,3
物語,ものがたり,"tale, story, legend",JLPT JLPT_2 JLPT_3,3
物事,ものごと,"things, everything",JLPT JLPT_2 JLPT_3,3
燃やす,もやす,to burn,JLPT JLPT_2 JLPT_3,3
模様,もよう,"pattern, figure, design",JLPT JLPT_2 JLPT_3,3
文句,もんく,a complaint,JLPT Intermediate_Japanese Genki JLPT_3 JLPT_2 Intermediate_Japanese_Ln.14 Genki_Ln.21 Intermediate_Japanese_Ln.11,3
やがて,やがて,"before long, soon, at length",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.8,3
役,やく,"role, position",JLPT JLPT_2 JLPT_3,3
約,やく,"approximately, about, some",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.11,3
訳,やく,translation,JLPT JLPT_2 JLPT_3,3
訳す,やくす,to translate,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.2,3
役割,やくわり,"assigning (allotment of) parts, role, duties",JLPT JLPT_2 JLPT_3,3
家賃,やちん,rent,JLPT Genki_Ln.18 JLPT_3 JLPT_2 Genki,3
厄介,やっかい,"trouble, burden, care",JLPT JLPT_2 JLPT_3,3
宿,やど,"inn, lodging",JLPT JLPT_2 JLPT_3,3
雇う,やとう,"to employ, to hire",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.8,3
屋根,やね,roof,JLPT JLPT_2 JLPT_3,3
破る,やぶる,to tear; to violate; to defeat,JLPT JLPT_2 JLPT_3,3
破れる,やぶれる,"to get torn, to wear out",JLPT JLPT_2 JLPT_3,3
辞める,やめる,to retire,JLPT JLPT_2 JLPT_3,3
やや,やや,"a little, partially, somewhat",JLPT JLPT_2 JLPT_3,3
唯一,ゆいいつ,"only, sole, unique",JLPT JLPT_2 JLPT_3,3
勇気,ゆうき,"courage, bravery, boldness",JLPT JLPT_2 JLPT_3,3
友好,ゆうこう,friendship,JLPT JLPT_2 JLPT_3,3
有効,ゆうこう,"valid, effectual",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.10,3
優秀,ゆうしゅう,"superiority, excellence",JLPT JLPT_2 JLPT_3,3
優勝,ゆうしょう,"overall victory, championship",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.7,3
友情,ゆうじょう,"friendship, fellowship",JLPT JLPT_2 JLPT_3,3
友人,ゆうじん,friend (formal),JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.15 Intermediate_Japanese_Ln.2,3
有能,ゆうのう,"able, capable, efficient",JLPT JLPT_2 JLPT_3,3
郵便,ゆうびん,"mail, postal service",JLPT JLPT_2 JLPT_3,3
ユーモア,ユーモア,humor,JLPT JLPT_2 JLPT_3,3
有利,ゆうり,"advantageous, better",JLPT JLPT_2 JLPT_3,3
床,ゆか,floor,JLPT JLPT_2 JLPT_3,3
愉快,ゆかい,"pleasant, happy",JLPT JLPT_2 JLPT_3,3
譲る,ゆずる,"to turn over, to assign, to hand over",JLPT JLPT_2 JLPT_3,3
豊か,ゆたか,"abundant, wealthy, plentiful, rich",JLPT JLPT_2 JLPT_3,3
茹でる,ゆでる,to boil,JLPT JLPT_2 JLPT_3,3
許す,ゆるす,"to permit, to allow, to approve",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.8,3
夜,よ,"evening, night",JLPT JLPT_2 JLPT_3,3
夜明け,よあけ,"dawn, daybreak",JLPT JLPT_2 JLPT_3,3
酔う,よう,to get drunk,JLPT JLPT_2 JLPT_3,3
容易,ようい,"easy, simple, plain",JLPT JLPT_2 JLPT_3,3
容器,ようき,"container, vessel",JLPT JLPT_2 JLPT_3,3
陽気,ようき,"season, weather, cheerfulness",JLPT JLPT_2 JLPT_3,3
要求,ようきゅう,"request, demand",JLPT JLPT_2 JLPT_3,3
用心,ようじん,"care, precaution, caution",JLPT JLPT_2 JLPT_3,3
様子,ようす,"aspect, state, appearance",JLPT JLPT_2 JLPT_3,3
要するに,ようするに,"in a word, after all, in short …",JLPT JLPT_2 JLPT_3,3
要素,ようそ,element,JLPT JLPT_2 JLPT_3,3
要点,ようてん,"gist, main point",JLPT JLPT_2 JLPT_3,3
曜日,ようび,day of the week,JLPT JLPT_2 JLPT_3,3
ヨーロッパ,ヨーロッパ,Europe,JLPT JLPT_2 JLPT_3,3
予期,よき,"expectation, forecast",JLPT JLPT_2 JLPT_3,3
横切る,よこぎる,"to cross (e.g., arms), to traverse",JLPT JLPT_2 JLPT_3,3
汚す,よごす,"to pollute, to make dirty",JLPT JLPT_2 JLPT_3,3
予算,よさん,"estimate, budget",JLPT JLPT_2 JLPT_3,3
止す,よす,"to cease, to give up",JLPT JLPT_2 JLPT_3,3
寄せる,よせる,"to collect, to gather, to put aside",JLPT JLPT_2 JLPT_3,3
予測,よそく,"prediction, estimation",JLPT JLPT_2 JLPT_3,3
ヨット,ヨット,yacht,JLPT JLPT_2 JLPT_3,3
夜中,よなか,"midnight, dead of night",JLPT JLPT_2 JLPT_3,3
世の中,よのなか,"society, the world",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.14,3
余分,よぶん,"extra, excess, surplus",JLPT JLPT_2 JLPT_3,3
予報,よほう,"forecast, prediction",JLPT JLPT_2 JLPT_3,3
予防,よぼう,"prevention, protection against",JLPT JLPT_2 JLPT_3,3
読み,よみ,reading,JLPT JLPT_2 JLPT_3,3
嫁,よめ,"bride, daughter-in-law",JLPT JLPT_2 JLPT_3,3
余裕,よゆう,excess; surplus,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.15,3
より,より,"twist, ply",JLPT JLPT_2 JLPT_3,3
因る,よる,to come from,JLPT JLPT_2 JLPT_3,3
喜び,よろこび,"joy, pleasure, rejoicing",JLPT JLPT_2 JLPT_3,3
よろしく (かん),よろしく (かん),"best regards, please remember me",JLPT JLPT_2 JLPT_3,3
四,よん,four,JLPT JLPT_2 JLPT_3,3
来,らい～,next ~,JLPT JLPT_2 JLPT_3,3
ライター,ライター,lighter; writer,JLPT JLPT_2 JLPT_3,3
楽,らく,"comfort, ease",JLPT JLPT_2 JLPT_3,3
ラケット,ラケット,racket,JLPT JLPT_2 JLPT_3,3
利益,りえき,"profits, gains",JLPT JLPT_2 JLPT_3,3
理解,りかい,"understanding, comprehension",JLPT JLPT_2 JLPT_3,3
陸,りく,"land, shore",JLPT JLPT_2 JLPT_3,3
利口,りこう,"clever, shrewd, bright",JLPT JLPT_2 JLPT_3,3
離婚,りこん,divorce,JLPT JLPT_2 JLPT_3,3
理想,りそう,ideal,JLPT JLPT_3 JLPT_2 Genki_Ln.23 Genki,3
率,りつ,"rate, ratio, percentage",JLPT JLPT_2 JLPT_3,3
留学,りゅうがく,studying abroad,JLPT JLPT_2 JLPT_3,3
流行,りゅうこう,"fashionable, fad, prevailing",JLPT JLPT_2 JLPT_3,3
量,りょう,"quantity, amount",JLPT JLPT_2 JLPT_3,3
寮,りょう,"hostel, dormitory",Genki_Ln.17 JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.2 Genki,3
両替,りょうがえ,"change, money exchange",JLPT JLPT_2 JLPT_3,3
料金,りょうきん,"fee, charge, fare",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.10,3
例,れい,"instance, example, case",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.2,3
礼,れい,expression of gratitude; bow,JLPT JLPT_2 JLPT_3,3
例外,れいがい,exception,JLPT JLPT_2 JLPT_3,3
礼儀,れいぎ,"manners, courtesy, etiquette",JLPT JLPT_2 JLPT_3,3
冷静,れいせい,"calm, coolness",JLPT JLPT_2 JLPT_3,3
列,れつ,"queue, line, row",JLPT JLPT_2 JLPT_3,3
列車,れっしゃ,train (ordinary),JLPT JLPT_2 JLPT_3,3
レベル,レベル,level,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.5,3
連想,れんそう,"association (of ideas), suggestion",JLPT JLPT_2 JLPT_3,3
連続,れんぞく,"consecutive, continuity, continuing",JLPT JLPT_2 JLPT_3,3
老人,ろうじん,"the aged, old person",JLPT JLPT_2 JLPT_3,3
労働,ろうどう,"labor, work",JLPT JLPT_2 JLPT_3,3
ロケット,ロケット,"locket, rocket",JLPT JLPT_2 JLPT_3,3
論じる,ろんじる,"to argue, to discuss",JLPT JLPT_2 JLPT_3,3
論争,ろんそう,"controversy, dispute",JLPT JLPT_2 JLPT_3,3
論文,ろんぶん,"thesis, paper",JLPT JLPT_2 JLPT_3,3
輪,わ,"ring, hoop, circle",JLPT JLPT_2 JLPT_3,3
ワイン,ワイン,wine,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.9,3
わがまま,わがまま,"selfishness, egoism, willfulness",JLPT JLPT_2 JLPT_3,3
別れ,わかれ,"parting, separation, farewell",JLPT JLPT_2 JLPT_3,3
分かれる,わかれる,"to branch off, to diverge from",JLPT JLPT_2 JLPT_3,3
脇,わき,side,JLPT JLPT_2 JLPT_3,3
湧く,わく,"to boil, to grow hot",JLPT JLPT_2 JLPT_3,3
分ける,わける,"to divide, to separate",JLPT JLPT_2 JLPT_3,3
わざと,わざと,on purpose,JLPT JLPT_2 JLPT_3,3
僅か,わずか,"only, merely, a little",JLPT JLPT_2 JLPT_3,3
綿,わた,cotton,JLPT JLPT_2 JLPT_3,3
話題,わだい,"topic, subject",JLPT JLPT_2 JLPT_3,3
笑い,わらい,"laugh, laughter, smile",JLPT JLPT_2 JLPT_3,3
割る,わる,"to divide, to break",JLPT JLPT_2 JLPT_3,3
悪口,わるくち,"abuse, insult",JLPT JLPT_2 JLPT_3,3
我々,われわれ,we,JLPT JLPT_2 JLPT_3,3
湾,わん,"bay, gulf, inlet",JLPT JLPT_2 JLPT_3,3
椀,わん,bowl,JLPT JLPT_2 JLPT_3,3
碗,わん,bowl,JLPT JLPT_2 JLPT_3,3
悪,あく,"evil, vice",JLPT_1 JLPT JLPT_3,3
当り,あたり,"hit, success, reaching the mark",JLPT_1 JLPT JLPT_3,3
アップ,アップ,up,JLPT_1 JLPT JLPT_3,3
宛てる,あてる,"to address, to put",JLPT_1 JLPT JLPT_3,3
アンケート,アンケート,"questionnaire (FRE: enquete), survey",JLPT_1 JLPT JLPT_3,3
異,い,objection,JLPT_1 JLPT JLPT_3,3
意,い,will,JLPT_1 JLPT JLPT_3,3
医院,いいん,"doctor's office (surgery), clinic",JLPT_1 JLPT JLPT_3,3
怒り,いかり,anger,JLPT_1 JLPT JLPT_3,3
粋,いき,"chic, style, purity",JLPT_1 JLPT JLPT_3,3
意地,いじ,"disposition, spirit, obstinacy, appetite",JLPT_1 JLPT JLPT_3,3
依然,いぜん,"still, as yet",JLPT_1 JLPT JLPT_3,3
傷める,いためる,"to damage, to impair, to spoil",JLPT_1 JLPT JLPT_3,3
炒める,いためる,to stir-fry,JLPT_1 JLPT JLPT_3,3
一帯,いったい,"a region, the whole place",JLPT_1 JLPT JLPT_3,3
異動,いどう,"a change, transfer",JLPT_1 JLPT JLPT_3,3
衣料,いりょう,clothing,JLPT_1 JLPT JLPT_3,3
渦,うず,swirl,JLPT_1 JLPT JLPT_3,3
埋まる,うまる,"to be buried, to be filled",JLPT_1 JLPT JLPT_3,3
産む,うむ,"to give birth (v.t.), to deliver, to produce",JLPT Intermediate_Japanese JLPT_1 JLPT_3 Intermediate_Japanese_Ln.14,3
縁,えん,"chance, tie, relationship",JLPT_1 JLPT JLPT_3,3
尾,お,"tail, ridge",JLPT_1 JLPT JLPT_3,3
負う,おう,"to bear, to owe",JLPT_1 JLPT JLPT_3,3
遅れ,おくれ,"delay, lag",JLPT Intermediate_Japanese JLPT_1 JLPT_3 Intermediate_Japanese_Ln.14,3
教え,おしえ,"teachings, doctrine",JLPT_1 JLPT JLPT_3,3
驚き,おどろき,"surprise, astonishment, wonder",JLPT_1 JLPT JLPT_3,3
織る,おる,to weave,JLPT_1 JLPT JLPT_3,3
欠く,かく,"to lack, to crack",JLPT_1 JLPT JLPT_3,3
角,かく,angle,JLPT_1 JLPT JLPT_3,3
核,かく,"nucleus, kernel",JLPT_1 JLPT JLPT_3,3
格,かく,"status, character, case",JLPT_1 JLPT JLPT_3,3
学歴,がくれき,academic background,JLPT_1 JLPT JLPT_3,3
駆ける,かける,to run,JLPT_1 JLPT JLPT_3,3
賭ける,かける,"to bet, to risk, to gamble",JLPT_1 JLPT JLPT_3,3
課題,かだい,"subject, theme, task",JLPT_1 JLPT JLPT_3,3
片付け,かたづけ,"tidying up, finishing",JLPT_1 JLPT JLPT_3,3
加味,かみ,"seasoning, flavoring",JLPT_1 JLPT JLPT_3,3
借り,かり,"borrowing, debt, loan",JLPT_1 JLPT JLPT_3,3
狩り,かり,hunting,JLPT_1 JLPT JLPT_3,3
管,かん,"pipe, tube",JLPT_1 JLPT JLPT_3,3
～観,かん,"feeling, view",JLPT_1 JLPT JLPT_3,3
癌,がん,cancer,JLPT_1 JLPT JLPT_3,3
刊行,かんこう,"publication, issue",JLPT_1 JLPT JLPT_3,3
慣行,かんこう,"customary practice, habit, traditional event",JLPT_1 JLPT JLPT_3,3
歓声,かんせい,"cheer, shout of joy",JLPT_1 JLPT JLPT_3,3
官僚,かんりょう,"bureaucrat, bureaucracy",JLPT_1 JLPT JLPT_3,3
器官,きかん,"organ (of body, instrument)",JLPT_1 JLPT JLPT_3,3
季刊,きかん,"quarterly (e.g., magazine)",JLPT_1 JLPT JLPT_3,3
起源,きげん,"origin, beginning, rise",JLPT_1 JLPT JLPT_3,3
機構,きこう,"mechanism, organization",JLPT_1 JLPT JLPT_3,3
築く,きずく,"to build, to establish",JLPT_1 JLPT JLPT_3,3
規制,きせい,regulation,JLPT_1 JLPT JLPT_3,3
丘陵,きゅうりょう,hill,JLPT_1 JLPT JLPT_3,3
協議,きょうぎ,"conference, discussion, negotiation",JLPT_1 JLPT JLPT_3,3
享受,きょうじゅ,"enjoyment, being given",JLPT_1 JLPT JLPT_3,3
協調,きょうちょう,"co-operation, conciliation, harmony",JLPT_1 JLPT JLPT_3,3
切り,きり,"limits, place to leave off",JLPT_1 JLPT JLPT_3,3
菌,きん,"germ, bacterium",JLPT_1 JLPT JLPT_3,3
近視,きんし,nearsightedness,JLPT_1 JLPT JLPT_3,3
苦,く,"trouble, worry, difficulty",JLPT_1 JLPT JLPT_3,3
群,ぐん,group,JLPT_1 JLPT JLPT_3,3
刑,けい,"penalty, sentence, punishment",JLPT_1 JLPT JLPT_3,3
経緯,けいい,"sequence of events, course",JLPT_1 JLPT JLPT_3,3
計器,けいき,"meter, gauge",JLPT_1 JLPT JLPT_3,3
契機,けいき,"opportunity, chance",JLPT_1 JLPT JLPT_3,3
携帯,けいたい,carrying something; mobile telephone,JLPT_1 JLPT JLPT_3,3
形態,けいたい,"form, shape, figure",JLPT_1 JLPT JLPT_3,3
血管,けっかん,blood vessel,JLPT_1 JLPT JLPT_3,3
決行,けっこう,"doing (with resolve), carrying out (e.g., a plan)",JLPT_1 JLPT JLPT_3,3
件,けん,"matter, case, item",JLPT_1 JLPT JLPT_3,3
減少,げんしょう,"decrease, reduction, decline",JLPT_1 JLPT JLPT_3,3
公演,こうえん,public performance,JLPT_1 JLPT JLPT_3,3
後悔,こうかい,"regret, repentance",JLPT_1 JLPT JLPT_3,3
航海,こうかい,"sail, voyage",JLPT_1 JLPT JLPT_3,3
拘束,こうそく,"restriction, restraint",JLPT_1 JLPT JLPT_3,3
荒廃,こうはい,ruin,JLPT_1 JLPT JLPT_3,3
降伏,こうふく,"capitulation, surrender, submission",JLPT_1 JLPT JLPT_3,3
興奮,こうふん,"excitement, stimulation",JLPT_1 JLPT JLPT_3,3
語句,ごく,"words, phrases",JLPT_1 JLPT JLPT_3,3
個々,ここ,"individual, one by one",JLPT_1 JLPT JLPT_3,3
故人,こじん,the deceased,JLPT_1 JLPT JLPT_3,3
小銭,こぜに,"coins, small change",JLPT_1 JLPT JLPT_3,3
ことによると,ことによると,(depending on the circumstances),JLPT_1 JLPT JLPT_3,3
コンテスト,コンテスト,contest,JLPT_1 JLPT JLPT_3,3
採集,さいしゅう,"collecting, gathering",JLPT_1 JLPT JLPT_3,3
作,さく,"a work, a harvest",JLPT_1 JLPT JLPT_3,3
策,さく,"plan, policy",JLPT_1 JLPT JLPT_3,3
設備,せつび,"equipment, device, facilities",JLPT JLPT_2 JLPT_3,3
絶滅,ぜつめつ,"destruction, extinction",JLPT JLPT_2 JLPT_3,3
節約,せつやく,"economizing, saving",JLPT JLPT_2 JLPT_3,3
攻める,せめる,"to attack, to assault",JLPT JLPT_2 JLPT_3,3
責める,せめる,"to condemn, to blame, to criticize",JLPT JLPT_2 JLPT_3,3
善,ぜん,"good, virtue",JLPT JLPT_2 JLPT_3,3
全,ぜん,"all, whole, entire",JLPT JLPT_2 JLPT_3,3
全員,ぜんいん,all members,JLPT JLPT_2 JLPT_3,3
専攻,せんこう,"major subject, special study",JLPT JLPT_2 JLPT_3,3
全国,ぜんこく,"the entire nation, country-wide, nation-wide",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.7,3
洗剤,せんざい,detergent,JLPT JLPT_2 JLPT_3,3
先日,せんじつ,"the other day, a few days ago",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.2,3
前者,ぜんしゃ,the former,JLPT JLPT_2 JLPT_3,3
選手,せんしゅ,player selected for a team (usually athletic),JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.7,3
全身,ぜんしん,"the whole body, full-length (portrait)",JLPT JLPT_2 JLPT_3,3
前進,ぜんしん,"advance, drive, progress",JLPT JLPT_2 JLPT_3,3
センター,センター,center,JLPT JLPT_2 JLPT_3,3
全体,ぜんたい,"whole, entirety, whatever (is the matter)",JLPT JLPT_2 JLPT_3,3
選択,せんたく,"selection, choice",JLPT JLPT_2 JLPT_3,3
宣伝,せんでん,"advertisement, publicity",JLPT JLPT_2 JLPT_3,3
象,ぞう,elephant,JLPT Genki_Ln.13 JLPT_3 JLPT_2 Genki,3
騒音,そうおん,noise,JLPT JLPT_2 JLPT_3,3
増加,ぞうか,"increase, addition",JLPT JLPT_2 JLPT_3,3
操作,そうさ,"operation, management, processing",JLPT JLPT_2 JLPT_3,3
想像,そうぞう,"imagination, guess",JLPT JLPT_2 JLPT_3,3
相続,そうぞく,"succession, inheritance",JLPT JLPT_2 JLPT_3,3
装置,そうち,"equipment, installation, apparatus",JLPT JLPT_2 JLPT_3,3
相当,そうとう,"considerably, fairly; worth ~",JLPT JLPT_2 JLPT_3,3
速度,そくど,"speed, velocity, rate",JLPT JLPT_2 JLPT_3,3
底,そこ,"bottom, sole",JLPT JLPT_2 JLPT_3,3
そこで,そこで,"so (conj.), accordingly",JLPT JLPT_2 JLPT_3,3
組織,そしき,organization; structure; tissue,JLPT JLPT_2 JLPT_3,3
そして,そして,and then,JLPT Genki_Ln.11 JLPT_3 JLPT_2 Genki,3
注ぐ,そそぐ,to pour (into),JLPT JLPT_2 JLPT_3,3
育つ,そだつ,"to be brought up, to grow (up)",JLPT JLPT_2 JLPT_3,3
そっくり,そっくり,the splitting image of; entirely,JLPT JLPT_2 JLPT_3,3
そっと,そっと,"softly, gently",JLPT JLPT_2 JLPT_3,3
袖,そで,sleeve,JLPT JLPT_2 JLPT_3,3
備える,そなえる,"to prepare, to furnish, to store",JLPT JLPT_2 JLPT_3,3
具える,そなえる,to be furnished with,JLPT JLPT_2 JLPT_3,3
そのうえ,そのうえ,"in addition, furthermore",JLPT JLPT_2 JLPT_3,3
そのうち,そのうち,"before long, eventually, sooner or later",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.1,3
そのまま,そのまま,"without change, as it is (e.g., now)",JLPT JLPT_2 JLPT_3,3
蕎麦,そば,soba (buckwheat noodles),JLPT JLPT_2 JLPT_3,3
ソファー,ソファー,"sofa, couch",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.12,3
粗末,そまつ,"humble, miserable, crude",JLPT JLPT_2 JLPT_3,3
それぞれ,それぞれ,"each, every, respectively",JLPT JLPT_2 JLPT_3,3
それでも,それでも,"but (still), and yet, nevertheless",JLPT JLPT_2 JLPT_3,3
それと,それと,and,JLPT JLPT_2 JLPT_3,3
それとも,それとも,"or, or else",JLPT JLPT_2 JLPT_3,3
揃う,そろう,"to become complete, to be equal",JLPT JLPT_2 JLPT_3,3
揃える,そろえる,"to put things in order, to arrange",JLPT JLPT_2 JLPT_3,3
損,そん,"loss, disadvantage",JLPT JLPT_2 JLPT_3,3
損害,そんがい,"damage, loss",JLPT JLPT_2 JLPT_3,3
尊敬,そんけい,"respect, reverence, honor",JLPT JLPT_2 JLPT_3,3
存在,そんざい,"existence, being",JLPT JLPT_2 JLPT_3,3
尊重,そんちょう,"respect, esteem, regard",JLPT JLPT_2 JLPT_3,3
田,た,rice field,JLPT JLPT_2 JLPT_3,3
他,た,other (esp. places and things),JLPT JLPT_2 JLPT_3,3
対,たい,"pair, couple, set",JLPT JLPT_2 JLPT_3,3
大,だい,"big, great",JLPT JLPT_2 JLPT_3,3
題,だい,"title, subject, theme",JLPT JLPT_2 JLPT_3,3
体育,たいいく,"physical education, gymnastics, athletics",JLPT JLPT_2 JLPT_3,3
体温,たいおん,temperature (body),JLPT JLPT_2 JLPT_3,3
大会,たいかい,"convention, (big) tournament, mass meeting",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.7,3
大気,たいき,atmosphere,JLPT JLPT_2 JLPT_3,3
代金,だいきん,"price, cost",JLPT JLPT_2 JLPT_3,3
退屈,たいくつ,"tedium, boring",JLPT JLPT_2 JLPT_3,3
滞在,たいざい,"stay, sojourn",JLPT JLPT_2 JLPT_3,3
大使,たいし,ambassador,JLPT JLPT_2 JLPT_3,3
大した,たいした,"significant, great, considerable",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.13,3
体重,たいじゅう,(body) weight,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.4,3
対象,たいしょう,"target; object (of worship, study, etc.); subject (i.e., of taxation)",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.8,3
対照,たいしょう,"contrast, antithesis, comparison",JLPT JLPT_2 JLPT_3,3
大臣,だいじん,cabinet minister,JLPT JLPT_2 JLPT_3,3
対する,たいする,"to face, to confront, to oppose",JLPT JLPT_2 JLPT_3,3
大戦,たいせん,"great war, great battle",JLPT JLPT_2 JLPT_3,3
態度,たいど,"attitude, manner",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.3,3
大統領,だいとうりょう,president,JLPT JLPT_2 JLPT_3,3
大半,たいはん,"most of, majority, mostly",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.13,3
代表,だいひょう,"representative, delegation",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.7,3
大部分,だいぶぶん,"most part, majority",JLPT JLPT_2 JLPT_3,3
タイプライター,タイプライター,typewriter,JLPT JLPT_2 JLPT_3,3
逮捕,たいほ,"arrest, apprehension, capture",JLPT JLPT_2 JLPT_3,3
題名,だいめい,title,JLPT JLPT_2 JLPT_3,3
